City_ID,City,Country,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Tautira,PF,-17.7333,-149.15,76.1,73,51,23.29,broken clouds
317,Mar Del Plata,AR,-38.0023,-57.5575,55.94,81,40,3.44,scattered clouds
318,Sambava,MG,-14.2667,50.1667,70.09,73,100,7.65,overcast clouds
319,Libertador General San Martin,AR,-23.8064,-64.7876,71.8,51,52,4.0,broken clouds
320,Comodoro Rivadavia,AR,-45.8667,-67.5,56.46,45,0,25.7,clear sky
321,Hualmay,PE,-11.0964,-77.6139,60.85,81,27,11.21,scattered clouds
322,Poum,NC,-20.2333,164.0167,74.08,60,18,5.57,few clouds
323,Podgornoye,RU,51.735,39.1496,46.62,93,75,8.95,broken clouds
324,Burnie,AU,-41.0667,145.9167,53.92,53,100,21.27,overcast clouds
325,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,31.21,31,50,5.66,scattered clouds
326,Lamu,KE,-2.2717,40.902,71.82,86,15,8.77,few clouds
327,Monroe,US,43.1501,-77.6831,50.02,88,75,1.01,broken clouds
328,Jesus Carranza,MX,17.4333,-95.0333,72.72,93,55,3.2,broken clouds
329,Satrikh,IN,26.8667,81.2,78.87,93,100,10.94,overcast clouds
330,Montague,US,42.5356,-72.5351,56.1,87,100,7.76,overcast clouds
331,Kohat,PK,33.582,71.4493,69.87,45,0,2.37,clear sky
332,Mingaora,PK,34.7758,72.3625,65.32,48,0,6.69,clear sky
333,Bom Jesus,BR,-9.0744,-44.3586,77.31,27,0,3.2,clear sky
334,Mount Gambier,AU,-37.8333,140.7667,53.56,98,100,10.33,moderate rain
335,Qui Nhon,VN,13.7667,109.2333,80.73,81,99,7.14,overcast clouds
336,Quang Ngai,VN,15.1167,108.8,82.38,77,100,5.61,overcast clouds
337,Nova Olinda Do Norte,BR,-3.8881,-59.0942,78.96,69,77,2.39,broken clouds
338,Northam,GB,51.0333,-4.2167,61.25,97,100,20.56,overcast clouds
339,Muros,ES,42.7762,-9.0603,54.84,95,2,4.18,clear sky
340,Choma,ZM,-16.8065,26.9531,68.04,31,0,5.17,clear sky
341,Nanao,JP,37.05,136.9667,63.32,76,100,8.61,moderate rain
342,Kuching,MY,1.55,110.3333,77.22,94,40,2.3,scattered clouds
343,Naze,JP,28.3667,129.4833,80.19,70,3,4.76,clear sky
344,Whitehorse,CA,60.7161,-135.0538,51.31,57,100,8.01,overcast clouds
